"Time Frame" ,"Location Id" ,"Location"                 ,"Lodged Bonds" ,"Active Bonds" ,"Closed Bonds" ,"Median Rent" ,"Geometric Mean Rent" ,"Upper Quartile Rent" ,"Lower Quartile Rent" ,"Log Std Dev Weekly Rent"
"1993-09-01" ,"-99"         ,"ALL"                      ,"7,326"        ,"103014"       ,"6,645"        ,"150"         ,"152"                 ,"185"                 ,"120"                 ,"0.38"
"1993-09-01" ,"-1"          ,"NA"                       ,"486"          ,"6561"         ,"444"          ,"130"         ,"132"                 ,"165"                 ,"100"                 ,"0.43"
"1993-09-01" ,"1"           ,"Northland Region"         ,"141"          ,"1998"         ,"132"          ,"120"         ,"122"                 ,"140"                 ,"105"                 ,"0.26"
"1993-09-01" ,"2"           ,"Auckland Region"          ,"2,229"        ,"32913"        ,"1,947"        ,"185"         ,"189"                 ,"230"                 ,"150"                 ,"0.36"
"1993-09-01" ,"3"           ,"Waikato Region"           ,"687"          ,"9252"         ,"627"          ,"130"         ,"129"                 ,"160"                 ,"110"                 ,"0.30"
"1993-09-01" ,"4"           ,"Bay of Plenty Region"     ,"495"          ,"5424"         ,"429"          ,"145"         ,"137"                 ,"160"                 ,"120"                 ,"0.30"
"1993-09-01" ,"5"           ,"Gisborne Region"          ,"60"           ,"855"          ,"57"           ,"140"         ,"132"                 ,"150"                 ,"120"                 ,"0.22"
"1993-09-01" ,"6"           ,"Hawke's Bay Region"       ,"267"          ,"3144"         ,"228"          ,"145"         ,"143"                 ,"165"                 ,"130"                 ,"0.22"
"1993-09-01" ,"7"           ,"Taranaki Region"          ,"198"          ,"2520"         ,"177"          ,"125"         ,"123"                 ,"150"                 ,"100"                 ,"0.33"
"1993-09-01" ,"8"           ,"Manawatu-Wanganui Region" ,"393"          ,"6045"         ,"387"          ,"130"         ,"129"                 ,"160"                 ,"110"                 ,"0.32"
"1993-09-01" ,"9"           ,"Wellington Region"        ,"828"          ,"12621"        ,"795"          ,"165"         ,"166"                 ,"210"                 ,"130"                 ,"0.37"
"1993-09-01" ,"12"          ,"West Coast Region"        ,"27"           ,"453"          ,"27"           ,"120"         ,"114"                 ,"138"                 ,"100"                 ,"0.27"
"1993-09-01" ,"13"          ,"Canterbury Region"        ,"837"          ,"11760"        ,"783"          ,"147"         ,"143"                 ,"180"                 ,"120"                 ,"0.35"
"1993-09-01" ,"14"          ,"Otago Region"             ,"315"          ,"5442"         ,"303"          ,"135"         ,"132"                 ,"160"                 ,"110"                 ,"0.40"
"1993-09-01" ,"15"          ,"Southland Region"         ,"120"          ,"1551"         ,"102"          ,"105"         ,"101"                 ,"120"                 ,"90"                  ,"0.29"
"1993-09-01" ,"16"          ,"Tasman Region"            ,"36"           ,"339"          ,"33"           ,"150"         ,"148"                 ,"170"                 ,"135"                 ,"0.25"
"1993-09-01" ,"17"          ,"Nelson Region"            ,"138"          ,"1341"         ,"108"          ,"155"         ,"154"                 ,"180"                 ,"135"                 ,"0.19"
"1993-09-01" ,"18"          ,"Marlborough Region"       ,"69"           ,"789"          ,"63"           ,"140"         ,"132"                 ,"150"                 ,"130"                 ,"0.23"
"1993-10-01" ,"-99"         ,"ALL"                      ,"7,704"        ,"104163"       ,"6,555"        ,"150"         ,"154"                 ,"190"                 ,"120"                 ,"0.37"
"1993-10-01" ,"-1"          ,"NA"                       ,"450"          ,"6600"         ,"411"          ,"135"         ,"132"                 ,"165"                 ,"100"                 ,"0.41"
"1993-10-01" ,"1"           ,"Northland Region"         ,"156"          ,"2031"         ,"123"          ,"125"         ,"122"                 ,"150"                 ,"105"                 ,"0.32"
"1993-10-01" ,"2"           ,"Auckland Region"          ,"2,487"        ,"33411"        ,"1,992"        ,"190"         ,"191"                 ,"230"                 ,"155"                 ,"0.34"
"1993-10-01" ,"3"           ,"Waikato Region"           ,"690"          ,"9333"         ,"609"          ,"130"         ,"130"                 ,"160"                 ,"108"                 ,"0.32"
"1993-10-01" ,"4"           ,"Bay of Plenty Region"     ,"516"          ,"5544"         ,"396"          ,"140"         ,"139"                 ,"160"                 ,"120"                 ,"0.26"
"1993-10-01" ,"5"           ,"Gisborne Region"          ,"60"           ,"864"          ,"51"           ,"130"         ,"120"                 ,"140"                 ,"110"                 ,"0.28"
"1993-10-01" ,"6"           ,"Hawke's Bay Region"       ,"270"          ,"3192"         ,"222"          ,"150"         ,"139"                 ,"165"                 ,"125"                 ,"0.28"
"1993-10-01" ,"7"           ,"Taranaki Region"          ,"219"          ,"2529"         ,"207"          ,"130"         ,"126"                 ,"150"                 ,"100"                 ,"0.28"
"1993-10-01" ,"8"           ,"Manawatu-Wanganui Region" ,"420"          ,"6039"         ,"423"          ,"130"         ,"132"                 ,"160"                 ,"110"                 ,"0.30"
"1993-10-01" ,"9"           ,"Wellington Region"        ,"867"          ,"12750"        ,"738"          ,"170"         ,"167"                 ,"200"                 ,"130"                 ,"0.37"
